Reporting_Date,Customer_ID,Region,Customer_Segment,Age,Tenure_Months,Acquisition_Channel,Plan,Active_Flag,Data_Usage_GB,Voice_Minutes,SMS_Count,Base_Monthly_Fee_GHS,Gross_Revenue_GHS,Promotion_Flag,Discount_GHS,Net_Revenue_GHS,Acquisition_Cost_GHS,Direct_Cost_GHS,Contribution_GHS,Contribution_Margin_Pct,Churn_Flag,Campaign_ID,Competitor_Price_Index,Market_Share_Pct,Target_Revenue_GHS,Revenue_Variance_GHS,Revenue_Variance_Pct
1/31/2025,CUST-000127,Upper East,Professional,46 ,57 ,Digital,Basic,1,4.10 ,88 ,18 ,35 ,51.58 ,0,0.00 ,51.58 ,0.00 ,10.69 ,40.89 ,79.27 ,0,NONE,105.47 ,15.99 ,52.43 ,(0.85),(1.62)
1/31/2025,CUST-000153,Bono,SME,42 ,44 ,Call Centre,Premium,1,6.78 ,69 ,20 ,160 ,181.10 ,0,0.00 ,181.10 ,0.00 ,14.52 ,166.58 ,91.98 ,0,NONE,112.91 ,22.38 ,194.62 ,(13.52),(6.95)
1/31/2025,CUST-000162,Ashanti,Mass Market,18 ,34 ,Retail Shop,Business,1,9.39 ,90 ,22 ,300 ,318.91 ,0,0.00 ,318.91 ,0.00 ,21.66 ,297.25 ,93.21 ,0,CMP-002,94.93 ,26.80 ,319.44 ,(0.53),(0.17)
1/31/2025,CUST-000167,Ashanti,Mass Market,19 ,56 ,Call Centre,Business,1,7.55 ,62 ,31 ,300 ,316.65 ,0,0.00 ,316.65 ,0.00 ,21.87 ,294.78 ,93.09 ,0,NONE,94.73 ,24.38 ,353.18 ,(36.53),(10.34)
1/31/2025,CUST-000169,Central,Professional,32 ,44 ,Call Centre,Basic,1,2.78 ,44 ,11 ,35 ,44.31 ,0,0.00 ,44.31 ,0.00 ,8.96 ,35.35 ,79.78 ,0,NONE,91.52 ,22.14 ,48.68 ,(4.37),(8.98)
1/31/2025,CUST-000186,Greater Accra,Youth,46 ,10 ,Retail Shop,Basic,0,0.85 ,95 ,20 ,35 ,42.25 ,0,0.00 ,42.25 ,0.00 ,6.42 ,35.83 ,84.80 ,0,NONE,96.81 ,35.08 ,43.84 ,(1.59),(3.63)
1/31/2025,CUST-000199,Greater Accra,Youth,39 ,84 ,Agent,Basic,1,2.71 ,78 ,20 ,35 ,46.63 ,0,0.00 ,46.63 ,0.00 ,12.26 ,34.37 ,73.71 ,0,NONE,111.75 ,34.24 ,49.96 ,(3.33),(6.67)
1/31/2025,CUST-000211,Western,Youth,18 ,48 ,Retail Shop,Smart,1,2.38 ,187 ,30 ,100 ,114.02 ,0,0.00 ,114.02 ,0.00 ,13.60 ,100.42 ,88.07 ,0,NONE,98.63 ,20.59 ,116.44 ,(2.42),(2.08)
1/31/2025,CUST-000213,Upper East,Youth,29 ,23 ,Call Centre,Data Plus,1,1.23 ,132 ,11 ,70 ,77.60 ,0,0.00 ,77.60 ,0.00 ,9.11 ,68.49 ,88.26 ,0,NONE,97.57 ,17.55 ,75.64 ,1.96 ,2.59 
1/31/2025,CUST-000220,Ashanti,Youth,45 ,13 ,Digital,Smart,1,10.19 ,28 ,10 ,100 ,129.33 ,1,20.58 ,108.75 ,0.00 ,18.13 ,90.62 ,83.33 ,0,CMP-002,95.26 ,29.76 ,141.20 ,(32.45),(22.98)
1/31/2025,CUST-000231,Greater Accra,Professional,23 ,30 ,Retail Shop,Data Plus,1,3.41 ,118 ,22 ,70 ,85.24 ,0,0.00 ,85.24 ,0.00 ,10.36 ,74.88 ,87.85 ,0,CMP-002,102.39 ,32.40 ,91.01 ,(5.77),(6.34)
1/31/2025,CUST-000287,Greater Accra,Professional,52 ,3 ,Retail Shop,Basic,1,0.93 ,41 ,20 ,35 ,38.82 ,0,0.00 ,38.82 ,51.08 ,8.08 ,(20.34),(52.40),0,NONE,97.39 ,33.83 ,39.65 ,(0.83),(2.09)
1/31/2025,CUST-000288,Volta,Mass Market,22 ,36 ,Retail Shop,Smart,1,5.90 ,75 ,13 ,100 ,122.60 ,0,0.00 ,122.60 ,0.00 ,19.47 ,103.13 ,84.12 ,0,NONE,93.92 ,20.90 ,128.70 ,(6.10),(4.74)
1/31/2025,CUST-000292,Upper West,Youth,38 ,47 ,Corporate Sales,Data Plus,1,2.45 ,111 ,10 ,70 ,78.41 ,0,0.00 ,78.41 ,0.00 ,10.94 ,67.47 ,86.05 ,0,CMP-004,105.44 ,16.82 ,76.36 ,2.05 ,2.68 
1/31/2025,CUST-000296,Eastern,Professional,35 ,74 ,Retail Shop,Data Plus,1,2.82 ,130 ,15 ,70 ,83.17 ,0,0.00 ,83.17 ,0.00 ,10.12 ,73.05 ,87.83 ,0,CMP-004,105.78 ,24.50 ,89.89 ,(6.72),(7.48)
1/31/2025,CUST-000305,Upper East,Youth,47 ,15 ,Retail Shop,Basic,1,2.59 ,79 ,19 ,35 ,45.94 ,1,6.76 ,39.18 ,0.00 ,11.25 ,27.93 ,71.29 ,0,CMP-005,105.55 ,18.89 ,45.30 ,(6.12),(13.51)
1/31/2025,CUST-000326,Ashanti,Corporate,33 ,16 ,Call Centre,Smart,0,2.56 ,90 ,17 ,100 ,107.90 ,0,0.00 ,107.90 ,0.00 ,7.74 ,100.16 ,92.83 ,1,NONE,100.33 ,25.20 ,106.09 ,1.81 ,1.71 
1/31/2025,CUST-000346,Ashanti,Mass Market,50 ,69 ,Digital,Basic,1,0.96 ,62 ,19 ,35 ,40.82 ,0,0.00 ,40.82 ,0.00 ,8.75 ,32.07 ,78.56 ,0,NONE,91.56 ,26.73 ,45.55 ,(4.73),(10.38)
1/31/2025,CUST-000387,Greater Accra,Mass Market,44 ,26 ,Agent,Business,1,19.84 ,84 ,20 ,300 ,363.38 ,0,0.00 ,363.38 ,0.00 ,41.22 ,322.16 ,88.66 ,0,CMP-005,106.29 ,34.35 ,385.50 ,(22.12),(5.74)
1/31/2025,CUST-000388,Greater Accra,Professional,27 ,11 ,Digital,Smart,1,0.54 ,57 ,18 ,100 ,103.70 ,1,24.25 ,79.45 ,0.00 ,6.98 ,72.47 ,91.21 ,0,NONE,96.92 ,34.66 ,102.17 ,(22.72),(22.24)
1/31/2025,CUST-000398,Ashanti,Youth,32 ,31 ,Partner,Data Plus,1,13.00 ,99 ,20 ,70 ,102.79 ,0,0.00 ,102.79 ,0.00 ,34.57 ,68.22 ,66.37 ,0,CMP-001,97.45 ,28.31 ,111.03 ,(8.24),(7.42)
1/31/2025,CUST-000413,Greater Accra,SME,32 ,18 ,Digital,Data Plus,1,2.28 ,110 ,11 ,70 ,80.19 ,1,15.25 ,64.94 ,0.00 ,9.81 ,55.13 ,84.89 ,0,CMP-005,100.46 ,34.28 ,86.14 ,(21.20),(24.61)
1/31/2025,CUST-000430,Greater Accra,Youth,20 ,42 ,Call Centre,Smart,1,1.28 ,52 ,18 ,100 ,104.97 ,1,19.32 ,85.65 ,0.00 ,8.18 ,77.47 ,90.45 ,0,NONE,104.04 ,29.91 ,111.43 ,(25.78),(23.14)
1/31/2025,CUST-000432,Greater Accra,Professional,36 ,8 ,Digital,Business,1,9.30 ,136 ,26 ,300 ,332.05 ,0,0.00 ,332.05 ,0.00 ,22.10 ,309.95 ,93.34 ,0,NONE,97.46 ,27.86 ,366.53 ,(34.48),(9.41)
1/31/2025,CUST-000449,Volta,Corporate,18 ,73 ,Call Centre,Data Plus,1,2.15 ,69 ,17 ,70 ,77.03 ,1,17.16 ,59.87 ,0.00 ,7.46 ,52.41 ,87.54 ,0,CMP-001,108.72 ,22.16 ,75.65 ,(15.78),(20.86)
1/31/2025,CUST-000465,Volta,Mass Market,27 ,15 ,Agent,Data Plus,1,4.09 ,175 ,20 ,70 ,85.32 ,0,0.00 ,85.32 ,0.00 ,14.63 ,70.69 ,82.85 ,0,NONE,98.63 ,25.98 ,82.76 ,2.56 ,3.09 
1/31/2025,CUST-000475,Central,SME,32 ,22 ,Agent,Data Plus,1,2.89 ,87 ,15 ,70 ,82.08 ,0,0.00 ,82.08 ,0.00 ,11.27 ,70.81 ,86.27 ,0,CMP-004,104.04 ,24.27 ,84.36 ,(2.28),(2.70)
1/31/2025,CUST-000475,Upper East,Mass Market,40 ,21 ,Partner,Data Plus,1,2.11 ,73 ,17 ,70 ,79.17 ,0,0.00 ,79.17 ,0.00 ,9.14 ,70.03 ,88.46 ,0,NONE,102.78 ,16.92 ,88.38 ,(9.21),(10.42)
1/31/2025,CUST-000483,Western,Mass Market,55 ,33 ,Corporate Sales,Data Plus,1,6.54 ,120 ,14 ,70 ,91.76 ,0,0.00 ,91.76 ,0.00 ,17.00 ,74.76 ,81.47 ,0,CMP-002,98.18 ,20.79 ,99.57 ,(7.81),(7.84)
1/31/2025,CUST-000493,Ashanti,Professional,35 ,37 ,Partner,Data Plus,1,2.38 ,52 ,19 ,70 ,75.86 ,0,0.00 ,75.86 ,0.00 ,9.52 ,66.34 ,87.45 ,0,NONE,96.62 ,27.73 ,75.87 ,(0.01),(0.01)
1/31/2025,CUST-000502,Northern,Corporate,31 ,50 ,Retail Shop,Smart,1,3.53 ,120 ,10 ,100 ,111.48 ,0,0.00 ,111.48 ,0.00 ,13.73 ,97.75 ,87.68 ,0,NONE,100.30 ,18.78 ,122.22 ,(10.74),(8.79)
1/31/2025,CUST-000506,Upper East,Youth,57 ,72 ,Agent,Smart,1,1.35 ,26 ,17 ,100 ,103.43 ,0,0.00 ,103.43 ,0.00 ,10.24 ,93.19 ,90.10 ,0,NONE,108.83 ,19.97 ,107.71 ,(4.28),(3.97)
1/31/2025,CUST-000543,Greater Accra,SME,45 ,47 ,Retail Shop,Basic,1,2.15 ,28 ,23 ,35 ,39.78 ,0,0.00 ,39.78 ,0.00 ,8.81 ,30.97 ,77.85 ,0,NONE,98.83 ,30.13 ,40.40 ,(0.62),(1.53)
1/31/2025,CUST-000569,Ashanti,Corporate,36 ,45 ,Retail Shop,Basic,1,3.38 ,76 ,23 ,35 ,49.51 ,0,0.00 ,49.51 ,0.00 ,14.72 ,34.79 ,70.27 ,0,CMP-004,91.14 ,29.09 ,50.32 ,(0.81),(1.61)
1/31/2025,CUST-000575,Central,Mass Market,22 ,21 ,Agent,Basic,1,7.15 ,46 ,21 ,35 ,59.44 ,0,0.00 ,59.44 ,0.00 ,15.25 ,44.19 ,74.34 ,0,NONE,114.15 ,23.06 ,63.61 ,(4.17),(6.56)
1/31/2025,CUST-000613,Western,Youth,37 ,69 ,Retail Shop,Premium,1,5.01 ,10 ,17 ,160 ,174.94 ,0,0.00 ,174.94 ,0.00 ,11.60 ,163.34 ,93.37 ,1,NONE,98.70 ,24.85 ,170.79 ,4.15 ,2.43 
1/31/2025,CUST-000641,Eastern,Youth,27 ,47 ,Call Centre,Data Plus,1,16.48 ,35 ,17 ,70 ,115.02 ,0,0.00 ,115.02 ,0.00 ,42.14 ,72.88 ,63.36 ,0,CMP-004,91.74 ,23.39 ,120.01 ,(4.99),(4.16)
1/31/2025,CUST-000674,Volta,SME,21 ,74 ,Corporate Sales,Data Plus,1,3.10 ,43 ,24 ,70 ,76.87 ,1,6.01 ,70.86 ,0.00 ,12.68 ,58.18 ,82.11 ,0,CMP-003,98.96 ,25.12 ,77.38 ,(6.52),(8.43)
1/31/2025,CUST-000677,Greater Accra,Mass Market,27 ,46 ,Agent,Data Plus,1,16.36 ,69 ,24 ,70 ,108.50 ,1,15.03 ,93.47 ,0.00 ,31.59 ,61.88 ,66.20 ,0,NONE,107.35 ,29.84 ,107.46 ,(13.99),(13.02)
1/31/2025,CUST-000715,Central,Youth,18 ,64 ,Retail Shop,Business,1,5.46 ,186 ,10 ,300 ,318.52 ,1,40.06 ,278.46 ,0.00 ,18.04 ,260.42 ,93.52 ,0,CMP-003,107.09 ,20.57 ,307.65 ,(29.19),(9.49)
1/31/2025,CUST-000723,Central,Mass Market,32 ,20 ,Corporate Sales,Data Plus,0,1.42 ,73 ,26 ,70 ,76.41 ,1,13.00 ,63.41 ,0.00 ,8.54 ,54.87 ,86.53 ,1,CMP-001,97.34 ,22.86 ,84.86 ,(21.45),(25.28)
1/31/2025,CUST-000757,Ashanti,Corporate,19 ,16 ,Agent,Premium,1,5.94 ,30 ,19 ,160 ,174.24 ,0,0.00 ,174.24 ,0.00 ,16.46 ,157.78 ,90.55 ,0,NONE,97.57 ,25.78 ,182.67 ,(8.43),(4.61)
1/31/2025,CUST-000762,Ahafo,Mass Market,43 ,68 ,Agent,Smart,1,6.48 ,80 ,20 ,100 ,123.07 ,0,0.00 ,123.07 ,0.00 ,15.13 ,107.94 ,87.71 ,0,NONE,102.53 ,17.76 ,130.94 ,(7.87),(6.01)
1/31/2025,CUST-000774,Greater Accra,Youth,23 ,37 ,Retail Shop,Basic,1,3.83 ,31 ,16 ,35 ,44.95 ,0,0.00 ,44.95 ,0.00 ,12.56 ,32.39 ,72.06 ,0,CMP-005,111.14 ,29.77 ,44.26 ,0.69 ,1.56 
1/31/2025,CUST-000774,Eastern,Mass Market,22 ,17 ,Call Centre,Smart,0,1.53 ,57 ,16 ,100 ,107.72 ,0,0.00 ,107.72 ,0.00 ,7.50 ,100.22 ,93.04 ,0,NONE,92.39 ,18.07 ,118.00 ,(10.28),(8.71)
1/31/2025,CUST-000793,Western,Mass Market,25 ,9 ,Partner,Smart,1,4.06 ,122 ,21 ,100 ,112.86 ,0,0.00 ,112.86 ,0.00 ,14.61 ,98.25 ,87.05 ,0,NONE,105.71 ,24.21 ,110.19 ,2.67 ,2.42 
1/31/2025,CUST-000810,Northern,Mass Market,51 ,38 ,Retail Shop,Premium,1,4.12 ,61 ,26 ,160 ,175.03 ,0,0.00 ,175.03 ,0.00 ,13.20 ,161.83 ,92.46 ,0,NONE,96.93 ,19.58 ,168.54 ,6.49 ,3.85 
1/31/2025,CUST-000833,Greater Accra,Youth,32 ,36 ,Digital,Premium,0,2.04 ,119 ,16 ,160 ,170.27 ,0,0.00 ,170.27 ,0.00 ,10.90 ,159.37 ,93.60 ,0,NONE,101.00 ,30.30 ,186.89 ,(16.62),(8.89)
1/31/2025,CUST-000835,Northern,Youth,46 ,35 ,Retail Shop,Smart,1,2.16 ,57 ,14 ,100 ,108.97 ,1,15.85 ,93.12 ,0.00 ,8.72 ,84.40 ,90.64 ,0,NONE,104.89 ,17.22 ,111.83 ,(18.71),(16.73)
1/31/2025,CUST-000860,Ashanti,Mass Market,30 ,77 ,Digital,Data Plus,0,6.94 ,138 ,16 ,70 ,90.32 ,0,0.00 ,90.32 ,0.00 ,22.76 ,67.56 ,74.80 ,0,NONE,97.01 ,30.66 ,96.89 ,(6.57),(6.78)
1/31/2025,CUST-000864,Volta,Mass Market,34 ,19 ,Corporate Sales,Basic,1,2.04 ,41 ,12 ,35 ,43.05 ,0,0.00 ,43.05 ,0.00 ,10.16 ,32.89 ,76.40 ,0,NONE,96.00 ,19.54 ,44.56 ,(1.51),(3.39)
1/31/2025,CUST-000877,Ashanti,Mass Market,26 ,18 ,Call Centre,Data Plus,1,5.36 ,126 ,25 ,70 ,88.38 ,1,10.70 ,77.68 ,0.00 ,17.66 ,60.02 ,77.27 ,0,NONE,91.50 ,30.48 ,90.13 ,(12.45),(13.81)
1/31/2025,CUST-000883,Western,SME,45 ,50 ,Agent,Data Plus,1,5.63 ,216 ,27 ,70 ,93.34 ,0,0.00 ,93.34 ,0.00 ,14.37 ,78.97 ,84.60 ,0,NONE,98.28 ,21.34 ,93.29 ,0.05 ,0.05 
1/31/2025,CUST-000898,Western,Corporate,28 ,48 ,Agent,Smart,1,3.18 ,241 ,23 ,100 ,116.67 ,0,0.00 ,116.67 ,0.00 ,13.90 ,102.77 ,88.09 ,0,NONE,99.40 ,23.72 ,115.89 ,0.78 ,0.67 
1/31/2025,CUST-000899,Ashanti,Youth,40 ,31 ,Digital,Business,1,15.64 ,70 ,16 ,300 ,344.15 ,0,0.00 ,344.15 ,0.00 ,25.28 ,318.87 ,92.65 ,0,CMP-005,99.56 ,27.71 ,364.36 ,(20.21),(5.55)
1/31/2025,CUST-000919,Greater Accra,Youth,30 ,42 ,Retail Shop,Data Plus,1,2.68 ,211 ,16 ,70 ,86.95 ,0,0.00 ,86.95 ,0.00 ,9.61 ,77.34 ,88.95 ,0,NONE,112.18 ,31.36 ,93.16 ,(6.21),(6.67)
1/31/2025,CUST-000976,Volta,Professional,18 ,27 ,Corporate Sales,Premium,1,1.40 ,96 ,19 ,160 ,168.13 ,1,39.23 ,128.90 ,0.00 ,7.81 ,121.09 ,93.94 ,0,CMP-003,98.69 ,21.95 ,171.66 ,(42.76),(24.91)
1/31/2025,CUST-001008,Western,Professional,38 ,32 ,Retail Shop,Smart,1,2.50 ,79 ,19 ,100 ,107.47 ,0,0.00 ,107.47 ,0.00 ,8.80 ,98.67 ,91.81 ,0,CMP-005,95.62 ,19.56 ,108.21 ,(0.74),(0.68)
1/31/2025,CUST-001016,Ahafo,SME,37 ,29 ,Corporate Sales,Data Plus,1,1.67 ,193 ,24 ,70 ,81.12 ,0,0.00 ,81.12 ,0.00 ,12.12 ,69.00 ,85.06 ,0,NONE,91.21 ,20.47 ,79.15 ,1.97 ,2.49 
1/31/2025,CUST-001018,Bono,Professional,24 ,21 ,Agent,Smart,1,7.13 ,35 ,13 ,100 ,122.78 ,0,0.00 ,122.78 ,0.00 ,14.07 ,108.71 ,88.54 ,0,CMP-005,100.86 ,18.19 ,122.52 ,0.26 ,0.21 
1/31/2025,CUST-001019,Ashanti,Mass Market,42 ,68 ,Digital,Basic,1,5.90 ,154 ,16 ,35 ,54.23 ,0,0.00 ,54.23 ,0.00 ,20.11 ,34.12 ,62.92 ,0,CMP-002,115.00 ,31.24 ,60.43 ,(6.20),(10.26)
1/31/2025,CUST-001043,Bono,Youth,36 ,41 ,Partner,Data Plus,1,1.98 ,110 ,27 ,70 ,80.21 ,0,0.00 ,80.21 ,0.00 ,9.64 ,70.57 ,87.98 ,0,NONE,96.10 ,20.10 ,81.05 ,(0.84),(1.04)
1/31/2025,CUST-001049,Upper West,Youth,24 ,34 ,Agent,Business,1,3.64 ,62 ,23 ,300 ,311.34 ,0,0.00 ,311.34 ,0.00 ,10.29 ,301.05 ,96.69 ,0,NONE,98.92 ,19.37 ,307.47 ,3.87 ,1.26 
1/31/2025,CUST-001052,Ashanti,Mass Market,39 ,57 ,Corporate Sales,Basic,1,1.19 ,94 ,19 ,35 ,40.74 ,0,0.00 ,40.74 ,0.00 ,5.90 ,34.84 ,85.52 ,0,CMP-003,101.15 ,27.76 ,43.46 ,(2.72),(6.26)
1/31/2025,CUST-001072,Western,Youth,40 ,31 ,Partner,Data Plus,1,3.38 ,21 ,13 ,70 ,77.63 ,0,0.00 ,77.63 ,0.00 ,11.07 ,66.56 ,85.74 ,0,CMP-001,101.03 ,26.52 ,81.28 ,(3.65),(4.49)
1/31/2025,CUST-001084,Bono,Professional,23 ,21 ,Call Centre,Smart,1,4.77 ,106 ,18 ,100 ,120.31 ,0,0.00 ,120.31 ,0.00 ,13.32 ,106.99 ,88.93 ,0,NONE,92.01 ,21.04 ,123.89 ,(3.58),(2.89)
1/31/2025,CUST-001089,Western,Corporate,46 ,18 ,Retail Shop,Data Plus,1,10.05 ,29 ,15 ,70 ,94.35 ,0,0.00 ,94.35 ,0.00 ,23.29 ,71.06 ,75.32 ,0,NONE,95.16 ,27.55 ,101.06 ,(6.71),(6.64)
1/31/2025,CUST-001110,Greater Accra,Youth,32 ,23 ,Partner,Smart,0,4.90 ,153 ,9 ,100 ,113.75 ,1,6.01 ,107.74 ,0.00 ,16.63 ,91.11 ,84.56 ,0,CMP-001,95.27 ,37.68 ,117.81 ,(10.07),(8.55)
1/31/2025,CUST-001119,Ashanti,Youth,42 ,45 ,Call Centre,Business,1,23.82 ,89 ,13 ,300 ,363.58 ,1,56.75 ,306.83 ,0.00 ,60.62 ,246.21 ,80.24 ,0,CMP-004,98.11 ,31.74 ,394.49 ,(87.66),(22.22)
1/31/2025,CUST-001170,Greater Accra,Professional,18 ,25 ,Retail Shop,Smart,1,3.07 ,28 ,19 ,100 ,108.47 ,0,0.00 ,108.47 ,0.00 ,13.35 ,95.12 ,87.69 ,0,NONE,98.52 ,34.56 ,104.39 ,4.08 ,3.91 
1/31/2025,CUST-001177,Upper East,Professional,48 ,55 ,Partner,Smart,1,4.69 ,66 ,19 ,100 ,116.48 ,0,0.00 ,116.48 ,0.00 ,13.27 ,103.21 ,88.61 ,0,NONE,96.71 ,17.36 ,116.49 ,(0.01),(0.01)
1/31/2025,CUST-001187,Northern,Mass Market,31 ,33 ,Partner,Data Plus,1,3.19 ,136 ,19 ,70 ,82.62 ,1,10.28 ,72.34 ,0.00 ,12.40 ,59.94 ,82.86 ,0,NONE,93.00 ,18.57 ,88.93 ,(16.59),(18.66)
1/31/2025,CUST-001196,Upper East,Youth,48 ,39 ,Retail Shop,Data Plus,1,2.00 ,99 ,17 ,70 ,77.00 ,1,10.48 ,66.52 ,0.00 ,8.54 ,57.98 ,87.16 ,0,NONE,102.67 ,18.37 ,74.61 ,(8.09),(10.84)
1/31/2025,CUST-001223,Northern,Mass Market,45 ,8 ,Digital,Basic,1,1.12 ,76 ,13 ,35 ,39.69 ,0,0.00 ,39.69 ,0.00 ,8.59 ,31.10 ,78.36 ,0,NONE,97.90 ,23.25 ,42.82 ,(3.13),(7.31)
1/31/2025,CUST-001228,Volta,Corporate,20 ,27 ,Digital,Basic,1,4.65 ,43 ,15 ,35 ,47.56 ,0,0.00 ,47.56 ,0.00 ,14.59 ,32.97 ,69.32 ,0,NONE,105.65 ,20.33 ,52.17 ,(4.61),(8.84)
1/31/2025,CUST-001230,Greater Accra,Professional,47 ,56 ,Digital,Data Plus,1,1.73 ,59 ,24 ,70 ,76.46 ,0,0.00 ,76.46 ,0.00 ,6.82 ,69.64 ,91.08 ,0,NONE,102.39 ,32.09 ,81.97 ,(5.51),(6.72)
1/31/2025,CUST-001238,Northern,Youth,25 ,28 ,Retail Shop,Basic,1,1.80 ,190 ,12 ,35 ,46.84 ,0,0.00 ,46.84 ,0.00 ,9.52 ,37.32 ,79.68 ,0,CMP-004,100.05 ,22.31 ,48.00 ,(1.16),(2.42)
1/31/2025,CUST-001256,Central,Youth,44 ,84 ,Corporate Sales,Premium,1,11.88 ,158 ,18 ,160 ,198.96 ,0,0.00 ,198.96 ,0.00 ,27.41 ,171.55 ,86.22 ,0,NONE,98.74 ,21.60 ,208.35 ,(9.39),(4.51)
1/31/2025,CUST-001263,Greater Accra,Professional,39 ,57 ,Agent,Data Plus,1,2.71 ,110 ,17 ,70 ,78.35 ,0,0.00 ,78.35 ,0.00 ,12.00 ,66.35 ,84.68 ,0,NONE,97.70 ,32.32 ,81.25 ,(2.90),(3.57)
1/31/2025,CUST-001263,Northern,Professional,24 ,68 ,Retail Shop,Basic,0,1.08 ,64 ,21 ,35 ,39.74 ,0,0.00 ,39.74 ,0.00 ,7.95 ,31.79 ,79.99 ,0,NONE,98.54 ,18.40 ,39.16 ,0.58 ,1.48 
1/31/2025,CUST-001264,Central,SME,70 ,39 ,Digital,Data Plus,1,2.57 ,68 ,18 ,70 ,78.87 ,0,0.00 ,78.87 ,0.00 ,9.60 ,69.27 ,87.83 ,0,NONE,98.98 ,22.96 ,81.37 ,(2.50),(3.07)
1/31/2025,CUST-001265,Western,Youth,18 ,34 ,Retail Shop,Premium,1,1.52 ,105 ,15 ,160 ,167.82 ,0,0.00 ,167.82 ,0.00 ,8.93 ,158.89 ,94.68 ,0,CMP-003,101.13 ,27.66 ,178.46 ,(10.64),(5.96)
